last_name,first_name,link
Shirogane,Noel,https://static.wikia.nocookie.net/virtualyoutuber/images/0/03/Shirogane_Noel_-_Portrait.png/revision/latest?cb=20190821035057
Shishiro,Botan,https://static.wikia.nocookie.net/virtualyoutuber/images/d/d9/Shishiro_Botan_Portrait.png/revision/latest?cb=20200807015010
Takanashi,Kiara,https://static.wikia.nocookie.net/virtualyoutuber/images/2/28/Takanashi_Kiara_Portrait.png/revision/latest?cb=20200910192822
Takane,Lui,https://static.wikia.nocookie.net/virtualyoutuber/images/0/04/Takane_Lui_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20211202201955
Tokino,Sora,https://static.wikia.nocookie.net/virtualyoutuber/images/4/4b/Tokino_Sora_2020_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20201018021821
Tokoyami,Towa,https://static.wikia.nocookie.net/virtualyoutuber/images/3/35/Tokoyami_Towa_-_Portrait.png/revision/latest?cb=20200126194247
Tsukumo,Sana,https://static.wikia.nocookie.net/virtualyoutuber/images/6/69/Tsukumo_Sana_Portrait.png/revision/latest?cb=20210902020048
Tsunomaki,Watame,https://static.wikia.nocookie.net/virtualyoutuber/images/c/c6/Tsunomaki_Watame_-_Portrait.png/revision/latest?cb=20191229204823
Uruha,Rushia,https://static.wikia.nocookie.net/virtualyoutuber/images/a/a2/Uruha_Rushia_-_Portrait.png/revision/latest?cb=20190821034540
Usada,Pekora,https://static.wikia.nocookie.net/virtualyoutuber/images/2/23/Usada_Pekora_-_Portrait_Transparent.png/revision/latest?cb=20220729230439
Utsugi,Uyu,https://static.wikia.nocookie.net/virtualyoutuber/images/b/be/Utsugi_Uyu_-_Portrait.png/revision/latest?cb=20220324162921
Vestia,Zeta,https://static.wikia.nocookie.net/virtualyoutuber/images/b/b6/Vestia_Zeta_Portrait.png/revision/latest?cb=20220324053909
Watson,Amelia,https://static.wikia.nocookie.net/virtualyoutuber/images/9/97/Watson_Amelia_Portrait.png/revision/latest?cb=20200910193116
Yatogami,Fuma,https://static.wikia.nocookie.net/virtualyoutuber/images/6/6f/Yatogami_Fuma_-_Portrait.png/revision/latest?cb=20220324162117
Yozora,Mel,https://static.wikia.nocookie.net/virtualyoutuber/images/c/cf/Yozora_Mel_Portrait.png/revision/latest?cb=20190215175632
Yukihana,Lamy,https://static.wikia.nocookie.net/virtualyoutuber/images/e/ee/Yukihana_Lamy_Portrait.png/revision/latest?cb=20200807014745
Yukoku,Roberu,https://static.wikia.nocookie.net/virtualyoutuber/images/1/15/Yukoku_Roberu_-_Portrait.jpeg/revision/latest?cb=20200622091448
Yuzuki,Choco,https://static.wikia.nocookie.net/virtualyoutuber/images/a/a8/Yuzuki_Choco_Portrait.png/revision/latest?cb=20190215165656
